axis,x_name,x,method,mean_Mbps,std_Mbps,feasible_fraction,mean_max_AoDT_s,n
cpu,uav_cpu_cycles_per_s,100000000.0,sca,8.947583540171458,0.02477086811181327,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,random,8.927202795338568,0.03531881803919581,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,kmeans,8.900679948016245,0.02958599029857004,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,pso,8.904433998219181,0.03345071545973026,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,150000000.0,sca,8.946148121905546,0.02532558779932327,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,random,8.927646898849277,0.03514471422657701,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,kmeans,8.90083905801947,0.02956490132021408,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,pso,8.904552392856989,0.033467912461454564,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,200000000.0,sca,8.946425328822473,0.025310058842697915,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,random,8.927906985643414,0.035043514328823855,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,kmeans,8.900932241955955,0.02955260747053337,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,pso,8.90462172701083,0.03347801777138119,1.0,2.7999999999999994,20
cpu,uav_cpu_cycles_per_s,250000000.0,sca,8.946587180542753,0.02530160152014823,1.0,2.7999999999999994,20
