axis,x_name,x,repeated_default,bh_q_unique_family,bh_family_size,champion,baseline,n_seeds,n_jointly_feasible,mean_delta_Mbps,std_delta_Mbps,sem_delta_Mbps,ci95_lo_Mbps,ci95_hi_Mbps,wins,ties,losses,win_rate,wilcoxon_W_plus,wilcoxon_n_nonzero,wilcoxon_method,wilcoxon_p_two_sided,wilcoxon_p_greater,t_stat,t_df,t_p_two_sided,t_p_greater,champion_mean_Mbps,baseline_mean_Mbps,quote
lambda,lambda_i_per_s,2.5,False,2.384185791015625e-05,25,sca,pso,20,20,0.04235186375686704,0.026244762415797603,0.005868507281505504,0.030068936853205736,0.05463479066052834,19,0,1,0.95,207.0,20,exact,9.5367431640625e-06,4.76837158203125e-06,7.216803477493873,19,7.473864773678757e-07,3.7369323868393786e-07,8.94726018057466,8.904908316817794,"SCA wins by 0.042+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
lambda,lambda_i_per_s,3.0,False,0.13272666931152344,25,sca,random,20,20,0.017965980590532383,0.041613494659776776,0.009305060284058536,-0.0015097344117214924,0.03744169559278626,15,0,5,0.75,146.0,20,exact,0.13272666931152344,0.06636333465576172,1.9307753031231585,19,0.06857136876689898,0.03428568438344949,8.947772009825865,8.929806029235333,"SCA wins by 0.018+/-0.042 Mbps vs random, p=0.133 (n.s.), 15/20 seeds"
lambda,lambda_i_per_s,3.0,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04615933284043052,0.019704832379084835,0.004406134468487259,0.03693718741092914,0.0553814782699319,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.47615164052817,19,2.474998732654351e-09,1.2374993663271756e-09,8.947772009825865,8.901612676985435,"SCA wins by 0.046+/-0.020 Mbps vs kmeans, p<0.001, 20/20 seeds"
lambda,lambda_i_per_s,3.0,False,2.384185791015625e-05,25,sca,pso,20,20,0.04264410162342554,0.02637566363545361,0.00589777768405435,0.030299911063147285,0.05498829218370379,19,0,1,0.95,207.0,20,exact,9.5367431640625e-06,4.76837158203125e-06,7.230537315558902,19,7.275298895704761e-07,3.6376494478523804e-07,8.947772009825865,8.90512790820244,"SCA wins by 0.043+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
lambda,lambda_i_per_s,3.5,False,0.13272666931152344,25,sca,random,20,20,0.01775265208158041,0.04144534966676854,0.009267461920614272,-0.0016443686415782352,0.037149672804739055,15,0,5,0.75,146.0,20,exact,0.13272666931152344,0.06636333465576172,1.91558942822219,19,0.07059074428011111,0.035295372140055556,8.948117780528722,8.930365128447143,"SCA wins by 0.018+/-0.041 Mbps vs random, p=0.133 (n.s.), 15/20 seeds"
lambda,lambda_i_per_s,3.5,False,1.9073486328125e-06,25,sca,kmeans,20,20,0.04630476084552084,0.019765379857283005,0.004419673296198989,0.03705427832395032,0.05555524336709136,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,10.476964640201777,19,2.471864701139429e-09,1.2359323505697145e-09,8.948117780528722,8.901813019683201,"SCA wins by 0.046+/-0.020 Mbps vs kmeans, p<0.001, 20/20 seeds"
lambda,lambda_i_per_s,3.5,False,2.384185791015625e-05,25,sca,pso,20,20,0.042840869590554484,0.026462714143497237,0.005917242769400494,0.030455938138425644,0.05522580104268332,19,0,1,0.95,207.0,20,exact,9.5367431640625e-06,4.76837158203125e-06,7.240005397800318,19,7.141594688810698e-07,3.570797344405349e-07,8.948117780528722,8.905276910938168,"SCA wins by 0.043+/-0.026 Mbps vs pso, p<0.001, 19/20 seeds"
aodt,aodt_threshold_s,0.8,False,1.5894571940104168e-05,25,sca,random,20,0,0.4771217315994957,0.2755304432291133,0.061610480093094395,0.3481695147610052,0.6060739484379862,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,7.7441651303245385,19,2.706637400139088e-07,1.353318700069544e-07,8.909008909783008,8.431887178183512,"SCA wins by 0.477+/-0.276 Mbps vs random, p<0.001, 20/20 seeds"
aodt,aodt_threshold_s,0.8,False,1.9073486328125e-06,25,sca,kmeans,20,0,0.2174924876655447,0.08151805322854232,0.018227990841246683,0.17934086437128113,0.2556441109598082,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,11.931786095338499,19,2.852583958078767e-10,1.4262919790393834e-10,8.909008909783008,8.691516422117463,"SCA wins by 0.217+/-0.082 Mbps vs kmeans, p<0.001, 20/20 seeds"
aodt,aodt_threshold_s,0.8,False,9.5367431640625e-06,25,sca,pso,20,0,0.30345311220970617,0.19648988190180533,0.043936473282334236,0.21149301676391286,0.3954132076554995,20,0,0,1.0,210.0,20,exact,1.9073486328125e-06,9.5367431640625e-07,6.90663336266721,19,1.3823149251678484e-06,6.911574625839242e-07,8.909008909783008,8.605555797573299,"SCA wins by 0.303+/-0.196 Mbps vs pso, p<0.001, 20/20 seeds"
